"","subject","condition","audio","step","sAnswer","rt","stepRepetition","trial","phase"
"251","AAM04","AAM","asee_shstep15",15,0,971,6,3,"Late"
"252","AAM04","AAM","asee_shstep17",17,0,683,6,1,"Late"
"253","AAM04","AAM","asee_shstep05",5,1,925,7,1,"Late"
"254","AAM04","AAM","asee_shstep07",7,1,944,7,3,"Late"
"255","AAM04","AAM","asee_shstep09",9,1,882,7,5,"Late"
"256","AAM04","AAM","asee_shstep11",11,1,891,7,6,"Late"
"257","AAM04","AAM","asee_shstep13",13,0,1268,7,2,"Late"
"258","AAM04","AAM","asee_shstep15",15,0,533,7,0,"Late"
"259","AAM04","AAM","asee_shstep17",17,0,681,7,4,"Late"
"260","AAM04","AAM","asee_shstep05",5,1,853,8,5,"Late"
"261","AAM04","AAM","asee_shstep07",7,1,674,8,1,"Late"
"262","AAM04","AAM","asee_shstep09",9,1,842,8,6,"Late"
"263","AAM04","AAM","asee_shstep11",11,1,830,8,3,"Late"
"264","AAM04","AAM","asee_shstep13",13,1,1153,8,2,"Late"
"265","AAM04","AAM","asee_shstep15",15,0,787,8,4,"Late"
"266","AAM04","AAM","asee_shstep17",17,0,871,8,0,"Late"
"267","AAM04","AAM","asee_shstep05",5,1,708,9,3,"Late"
"268","AAM04","AAM","asee_shstep07",7,1,756,9,2,"Late"
"269","AAM04","AAM","asee_shstep09",9,1,735,9,1,"Late"
"270","AAM04","AAM","asee_shstep11",11,0,944,9,6,"Late"
"271","AAM04","AAM","asee_shstep13",13,0,863,9,4,"Late"
"272","AAM04","AAM","asee_shstep15",15,0,843,9,0,"Late"
"273","AAM04","AAM","asee_shstep17",17,0,663,9,5,"Late"
"274","AAM04","AAM","asee_shstep05",5,1,714,10,3,"Late"
"275","AAM04","AAM","asee_shstep07",7,1,624,10,5,"Late"
"276","AAM04","AAM","asee_shstep09",9,1,766,10,1,"Late"
"277","AAM04","AAM","asee_shstep11",11,1,976,10,6,"Late"
"278","AAM04","AAM","asee_shstep13",13,1,1340,10,4,"Late"
"279","AAM04","AAM","asee_shstep15",15,0,576,10,0,"Late"
"280","AAM04","AAM","asee_shstep17",17,0,630,10,2,"Late"
"281","AAM05","AAM","asee_shstep05",5,1,1408,1,0,"Early"
"282","AAM05","AAM","asee_shstep07",7,0,1140,1,4,"Early"
"283","AAM05","AAM","asee_shstep09",9,0,942,1,1,"Early"
"284","AAM05","AAM","asee_shstep11",11,0,652,1,6,"Early"
"285","AAM05","AAM","asee_shstep13",13,0,755,1,5,"Early"
"286","AAM05","AAM","asee_shstep15",15,0,772,1,3,"Early"
"287","AAM05","AAM","asee_shstep17",17,0,938,1,2,"Early"
"288","AAM05","AAM","asee_shstep05",5,1,686,2,2,"Early"
"289","AAM05","AAM","asee_shstep07",7,1,617,2,3,"Early"
"290","AAM05","AAM","asee_shstep09",9,1,792,2,6,"Early"
"291","AAM05","AAM","asee_shstep11",11,1,1064,2,0,"Early"
"292","AAM05","AAM","asee_shstep13",13,0,515,2,1,"Early"
"293","AAM05","AAM","asee_shstep15",15,0,390,2,4,"Early"
"294","AAM05","AAM","asee_shstep17",17,0,630,2,5,"Early"
"295","AAM05","AAM","asee_shstep05",5,1,566,3,6,"Early"
"296","AAM05","AAM","asee_shstep07",7,1,522,3,2,"Early"
"297","AAM05","AAM","asee_shstep09",9,0,518,3,4,"Early"
"298","AAM05","AAM","asee_shstep11",11,0,932,3,5,"Early"
"299","AAM05","AAM","asee_shstep13",13,0,867,3,3,"Early"
"300","AAM05","AAM","asee_shstep15",15,0,643,3,0,"Early"
"301","AAM05","AAM","asee_shstep17",17,0,377,3,1,"Early"
"302","AAM05","AAM","asee_shstep05",5,1,527,4,0,"Early"
"303","AAM05","AAM","asee_shstep07",7,1,626,4,1,"Early"
"304","AAM05","AAM","asee_shstep09",9,0,937,4,5,"Early"
"305","AAM05","AAM","asee_shstep11",11,0,755,4,2,"Early"
"306","AAM05","AAM","asee_shstep13",13,0,621,4,6,"Early"
"307","AAM05","AAM","asee_shstep15",15,0,566,4,3,"Early"
"308","AAM05","AAM","asee_shstep17",17,0,893,4,4,"Early"
"309","AAM05","AAM","asee_shstep05",5,1,549,5,1,"Early"
"310","AAM05","AAM","asee_shstep07",7,1,609,5,2,"Early"
"311","AAM05","AAM","asee_shstep09",9,1,710,5,5,"Early"
"312","AAM05","AAM","asee_shstep11",11,0,459,5,3,"Early"
"313","AAM05","AAM","asee_shstep13",13,0,515,5,6,"Early"
"314","AAM05","AAM","asee_shstep15",15,0,637,5,4,"Early"
"315","AAM05","AAM","asee_shstep17",17,0,642,5,0,"Early"
"316","AAM05","AAM","asee_shstep05",5,1,745,6,5,"Late"
"317","AAM05","AAM","asee_shstep07",7,1,760,6,6,"Late"
"318","AAM05","AAM","asee_shstep09",9,0,347,6,4,"Late"
"319","AAM05","AAM","asee_shstep11",11,1,728,6,2,"Late"
"320","AAM05","AAM","asee_shstep13",13,0,357,6,0,"Late"
"321","AAM05","AAM","asee_shstep15",15,0,684,6,3,"Late"
"322","AAM05","AAM","asee_shstep17",17,0,507,6,1,"Late"
"323","AAM05","AAM","asee_shstep05",5,1,532,7,6,"Late"
"324","AAM05","AAM","asee_shstep07",7,1,945,7,4,"Late"
"325","AAM05","AAM","asee_shstep09",9,1,749,7,1,"Late"
"326","AAM05","AAM","asee_shstep11",11,0,488,7,0,"Late"
"327","AAM05","AAM","asee_shstep13",13,0,583,7,5,"Late"
"328","AAM05","AAM","asee_shstep15",15,0,571,7,3,"Late"
"329","AAM05","AAM","asee_shstep17",17,0,563,7,2,"Late"
"330","AAM05","AAM","asee_shstep05",5,1,516,8,0,"Late"
"331","AAM05","AAM","asee_shstep07",7,1,667,8,3,"Late"
"332","AAM05","AAM","asee_shstep09",9,1,922,8,6,"Late"
"333","AAM05","AAM","asee_shstep11",11,0,769,8,5,"Late"
"334","AAM05","AAM","asee_shstep13",13,0,584,8,1,"Late"
"335","AAM05","AAM","asee_shstep15",15,0,466,8,2,"Late"
"336","AAM05","AAM","asee_shstep17",17,0,545,8,4,"Late"
"337","AAM05","AAM","asee_shstep05",5,1,519,9,5,"Late"
"338","AAM05","AAM","asee_shstep07",7,1,767,9,3,"Late"
"339","AAM05","AAM","asee_shstep09",9,1,593,9,6,"Late"
