subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
Subject003,1010subject552,bam,asee_shstep5.wav,step05,26,5,Early,1,655,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep5.wav,step05,27,6,Late,1,810,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep5.wav,step05,46,7,Late,1,851,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep5.wav,step05,47,8,Late,1,808,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep5.wav,step05,50,9,Late,1,850,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep5.wav,step05,57,10,Late,1,1102,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,0,1,Early,1,2915,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,5,2,Early,0,1323,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,7,3,Early,1,1602,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,12,4,Early,1,1184,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,21,5,Early,1,896,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,24,6,Late,0,784,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,28,7,Late,1,854,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,56,8,Late,1,827,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,59,9,Late,1,943,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep7.wav,step07,61,10,Late,1,1168,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,14,1,Early,0,1248,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,23,2,Early,0,918,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,25,3,Early,1,636,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,37,4,Early,1,1164,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,43,5,Early,0,859,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,45,6,Late,0,803,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,48,7,Late,1,1332,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,54,8,Late,1,1026,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,62,9,Late,1,946,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep13.wav,step13,6,3,Early,0,1204,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep13.wav,step13,11,4,Early,0,1107,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep13.wav,step13,29,5,Early,0,1672,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep13.wav,step13,30,6,Late,0,1032,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep13.wav,step13,31,7,Late,0,815,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep13.wav,step13,42,8,Late,0,893,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep13.wav,step13,49,9,Late,0,922,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep13.wav,step13,55,10,Late,0,973,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep15.wav,step15,8,1,Early,0,1393,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep15.wav,step15,13,2,Early,0,878,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep11.wav,step11,67,10,Late,1,976,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
