subject,condition,audio,step,sAnswer,rt,stepRepetition,trial
AAM05,AAM,asee_shstep17,17,0,499,10,6
AAM06,AAM,asee_shstep05,5,1,948,1,2
AAM06,AAM,asee_shstep07,7,1,918,1,5
AAM06,AAM,asee_shstep09,9,1,1179,1,6
AAM06,AAM,asee_shstep11,11,1,853,1,0
AAM06,AAM,asee_shstep13,13,1,1076,1,3
AAM06,AAM,asee_shstep15,15,1,1077,1,4
AAM06,AAM,asee_shstep17,17,1,1814,1,1
AAM06,AAM,asee_shstep05,5,1,948,2,2
AAM06,AAM,asee_shstep07,7,1,926,2,6
AAM06,AAM,asee_shstep09,9,1,738,2,1
AAM06,AAM,asee_shstep11,11,1,1012,2,4
AAM06,AAM,asee_shstep13,13,1,966,2,3
AAM06,AAM,asee_shstep15,15,0,662,2,0
AAM06,AAM,asee_shstep17,17,0,1125,2,5
AAM06,AAM,asee_shstep05,5,1,902,3,5
AAM06,AAM,asee_shstep07,7,1,876,3,4
AAM06,AAM,asee_shstep09,9,1,777,3,2
AAM06,AAM,asee_shstep11,11,1,928,3,6
AAM06,AAM,asee_shstep13,13,0,1346,3,3
AAM06,AAM,asee_shstep15,15,0,1005,3,1
AAM06,AAM,asee_shstep17,17,0,878,3,0
AAM06,AAM,asee_shstep05,5,1,853,4,6
AAM06,AAM,asee_shstep07,7,1,942,4,3
AAM06,AAM,asee_shstep09,9,1,770,4,5
AAM06,AAM,asee_shstep11,11,0,1123,4,2
AAM06,AAM,asee_shstep13,13,0,817,4,0
AAM06,AAM,asee_shstep15,15,0,1228,4,4
AAM06,AAM,asee_shstep17,17,0,744,4,1
AAM06,AAM,asee_shstep05,5,1,914,5,2
AAM06,AAM,asee_shstep07,7,1,849,5,5
AAM06,AAM,asee_shstep09,9,1,980,5,0
AAM06,AAM,asee_shstep11,11,0,1026,5,3
AAM06,AAM,asee_shstep13,13,0,1004,5,6
AAM06,AAM,asee_shstep15,15,0,888,5,4
AAM06,AAM,asee_shstep17,17,0,902,5,1
AAM06,AAM,asee_shstep05,5,1,825,6,0
AAM06,AAM,asee_shstep07,7,1,780,6,6
AAM06,AAM,asee_shstep09,9,1,915,6,1
AAM06,AAM,asee_shstep11,11,0,664,6,3
AAM06,AAM,asee_shstep13,13,0,909,6,5
AAM06,AAM,asee_shstep15,15,0,671,6,4
AAM06,AAM,asee_shstep17,17,0,764,6,2
AAM06,AAM,asee_shstep05,5,1,691,7,6
AAM06,AAM,asee_shstep07,7,1,799,7,1
AAM06,AAM,asee_shstep09,9,1,692,7,5
AAM06,AAM,asee_shstep11,11,0,1198,7,3
AAM06,AAM,asee_shstep13,13,1,877,7,0
AAM06,AAM,asee_shstep15,15,0,859,7,4
AAM06,AAM,asee_shstep17,17,0,702,7,2
AAM06,AAM,asee_shstep05,5,1,693,8,6
AAM06,AAM,asee_shstep07,7,1,654,8,1
AAM06,AAM,asee_shstep09,9,0,393,8,2
AAM06,AAM,asee_shstep11,11,1,856,8,4
AAM06,AAM,asee_shstep13,13,1,583,8,5
AAM06,AAM,asee_shstep15,15,0,580,8,0
AAM06,AAM,asee_shstep17,17,0,783,8,3
AAM06,AAM,asee_shstep05,5,1,765,9,0
AAM06,AAM,asee_shstep07,7,1,685,9,5
AAM06,AAM,asee_shstep09,9,1,686,9,6
AAM06,AAM,asee_shstep11,11,1,533,9,1
AAM06,AAM,asee_shstep13,13,1,500,9,2
AAM06,AAM,asee_shstep15,15,0,673,9,4
AAM06,AAM,asee_shstep17,17,0,872,9,3
AAM06,AAM,asee_shstep05,5,1,813,10,6
AAM06,AAM,asee_shstep07,7,1,822,10,1
AAM06,AAM,asee_shstep09,9,1,705,10,2
AAM06,AAM,asee_shstep11,11,1,860,10,0
AAM06,AAM,asee_shstep13,13,0,929,10,5
