subject,condition,word,wordType,grammarType,trial,nounAnswer,nounAnswer2,rt
Subject005,bam,warrantee,filler,noun,44,1,noun,1170
Subject005,bam,romantic,filler,notnoun,45,0,notnoun,1591
Subject005,bam,relate,filler,notnoun,46,0,notnoun,1462
Subject005,bam,marina,filler,noun,47,1,noun,1041
Subject005,bam,ballerina,filler,noun,48,1,noun,930
Subject005,bam,homogeneousstep11,critical,notnoun,49,0,notnoun,1691
Subject005,bam,freeze,filler,notnoun,5,0,notnoun,1611
Subject005,bam,addressstep12,critical,noun,50,1,noun,980
Subject005,bam,brain,filler,noun,51,1,noun,1192
Subject005,bam,image,filler,noun,52,1,noun,961
Subject005,bam,peninsulastep11,critical,noun,53,1,noun,1462
Subject005,bam,nervousstep13,critical,notnoun,54,0,notnoun,1151
Subject005,bam,kidnap,filler,notnoun,55,0,notnoun,1750
Subject005,bam,pineapple,filler,noun,56,0,notnoun,1129
Subject005,bam,honeymoon,filler,noun,57,1,noun,1081
Subject005,bam,felony,filler,noun,58,1,noun,1171
Subject005,bam,eternal,filler,notnoun,59,0,notnoun,1162
Subject005,bam,document,filler,noun,6,1,noun,1400
Subject005,bam,america,filler,noun,60,1,noun,1031
Subject005,bam,fumble,filler,notnoun,61,0,notnoun,1222
Subject005,bam,dinosaurstep8,critical,noun,62,1,noun,1132
Subject005,bam,grapple,filler,notnoun,63,0,notnoun,982
Subject005,bam,recover,filler,notnoun,64,0,notnoun,1430
Subject005,bam,parrot,filler,noun,65,1,noun,951
Subject005,bam,hamburger,filler,noun,66,1,noun,1292
Subject005,bam,utensilstep10,critical,noun,67,1,noun,971
Subject005,bam,opaque,filler,notnoun,68,0,notnoun,3287
Subject005,bam,yoghurt,filler,noun,69,1,noun,1100
