subject,condition,word,step,sAnswer,rt,trial,pass,phase
AAM06,aam,asee_shstep09,9,1,686,6,9,Late
AAM06,aam,asee_shstep11,11,1,533,1,9,Late
AAM06,aam,asee_shstep13,13,1,500,2,9,Late
AAM06,aam,asee_shstep15,15,0,673,4,9,Late
AAM06,aam,asee_shstep17,17,0,872,3,9,Late
AAM06,aam,asee_shstep05,5,1,813,6,10,Late
AAM06,aam,asee_shstep07,7,1,822,1,10,Late
AAM06,aam,asee_shstep09,9,1,705,2,10,Late
AAM06,aam,asee_shstep11,11,1,860,0,10,Late
AAM06,aam,asee_shstep13,13,0,929,5,10,Late
AAM06,aam,asee_shstep15,15,0,665,4,10,Late
AAM06,aam,asee_shstep17,17,0,692,3,10,Late
AAM09,aam,asee_shstep05,5,0,1846,4,1,Early
AAM09,aam,asee_shstep07,7,1,2706,6,1,Early
AAM09,aam,asee_shstep09,9,0,976,5,1,Early
AAM09,aam,asee_shstep11,11,0,1837,1,1,Early
AAM09,aam,asee_shstep13,13,0,2686,0,1,Early
AAM09,aam,asee_shstep15,15,0,1404,2,1,Early
AAM09,aam,asee_shstep17,17,0,1354,3,1,Early
AAM09,aam,asee_shstep05,5,1,1340,0,2,Early
AAM09,aam,asee_shstep07,7,1,3394,3,2,Early
AAM09,aam,asee_shstep09,9,0,800,1,2,Early
AAM09,aam,asee_shstep11,11,1,1146,4,2,Early
AAM09,aam,asee_shstep13,13,1,645,5,2,Early
AAM09,aam,asee_shstep15,15,1,1607,6,2,Early
AAM09,aam,asee_shstep17,17,0,1301,2,2,Early
AAM09,aam,asee_shstep05,5,1,1005,4,3,Early
AAM09,aam,asee_shstep07,7,1,712,2,3,Early
AAM09,aam,asee_shstep09,9,1,1571,5,3,Early
AAM09,aam,asee_shstep11,11,1,805,6,3,Early
AAM09,aam,asee_shstep13,13,0,961,0,3,Early
AAM09,aam,asee_shstep15,15,0,1770,1,3,Early
AAM09,aam,asee_shstep17,17,0,885,3,3,Early
AAM09,aam,asee_shstep05,5,1,745,1,4,Early
AAM09,aam,asee_shstep07,7,1,587,3,4,Early
AAM09,aam,asee_shstep09,9,0,461,4,4,Early
AAM09,aam,asee_shstep11,11,1,739,6,4,Early
AAM09,aam,asee_shstep13,13,0,863,5,4,Early
AAM09,aam,asee_shstep15,15,0,595,2,4,Early
AAM09,aam,asee_shstep17,17,0,617,0,4,Early
AAM09,aam,asee_shstep05,5,1,806,4,5,Early
AAM09,aam,asee_shstep07,7,1,690,5,5,Early
AAM09,aam,asee_shstep09,9,1,1114,6,5,Early
AAM09,aam,asee_shstep11,11,1,639,2,5,Early
AAM09,aam,asee_shstep13,13,0,1469,0,5,Early
AAM09,aam,asee_shstep15,15,0,754,1,5,Early
AAM09,aam,asee_shstep17,17,0,770,3,5,Early
AAM09,aam,asee_shstep05,5,1,640,0,6,Late
AAM09,aam,asee_shstep07,7,1,1981,3,6,Late
AAM09,aam,asee_shstep09,9,1,2029,4,6,Late
AAM09,aam,asee_shstep11,11,1,647,1,6,Late
AAM09,aam,asee_shstep13,13,0,1342,6,6,Late
AAM09,aam,asee_shstep15,15,0,1190,5,6,Late
AAM09,aam,asee_shstep17,17,0,885,2,6,Late
AAM09,aam,asee_shstep05,5,1,1304,4,7,Late
AAM09,aam,asee_shstep07,7,0,1365,0,7,Late
AAM09,aam,asee_shstep09,9,1,725,3,7,Late
AAM09,aam,asee_shstep11,11,1,1051,2,7,Late
AAM09,aam,asee_shstep13,13,0,1422,6,7,Late
AAM09,aam,asee_shstep15,15,0,2179,5,7,Late
AAM09,aam,asee_shstep05,5,1,597,4,8,Late
AAM09,aam,asee_shstep07,7,1,2574,5,8,Late
AAM09,aam,asee_shstep09,9,1,845,1,8,Late
AAM09,aam,asee_shstep11,11,0,852,2,8,Late
AAM09,aam,asee_shstep13,13,0,1640,0,8,Late
AAM09,aam,asee_shstep15,15,0,1239,6,8,Late
AAM09,aam,asee_shstep17,17,0,1147,3,8,Late
AAM09,aam,asee_shstep05,5,0,1235,5,9,Late
AAM09,aam,asee_shstep09,9,0,1531,2,9,Late
AAM09,aam,asee_shstep11,11,0,1261,0,9,Late
AAM09,aam,asee_shstep13,13,0,1280,3,9,Late
AAM09,aam,asee_shstep15,15,0,977,1,9,Late
AAM09,aam,asee_shstep17,17,0,1557,6,9,Late
AAM09,aam,asee_shstep05,5,1,743,2,10,Late
AAM09,aam,asee_shstep07,7,1,1333,6,10,Late
AAM09,aam,asee_shstep09,9,1,2902,4,10,Late
AAM09,aam,asee_shstep11,11,0,1984,3,10,Late
AAM09,aam,asee_shstep13,13,0,858,1,10,Late
AAM09,aam,asee_shstep15,15,0,1339,0,10,Late
AAM09,aam,asee_shstep17,17,0,1004,5,10,Late
AAM10,aam,asee_shstep05,5,1,1554,0,1,Early
AAM10,aam,asee_shstep07,7,1,856,2,1,Early
AAM10,aam,asee_shstep09,9,1,1311,3,1,Early
AAM10,aam,asee_shstep11,11,0,1719,6,1,Early
AAM10,aam,asee_shstep13,13,0,1443,5,1,Early
AAM10,aam,asee_shstep15,15,0,928,1,1,Early
AAM10,aam,asee_shstep17,17,0,1000,4,1,Early
AAM10,aam,asee_shstep05,5,1,896,0,2,Early
AAM10,aam,asee_shstep07,7,1,764,3,2,Early
AAM10,aam,asee_shstep09,9,1,1018,5,2,Early
AAM10,aam,asee_shstep11,11,0,936,4,2,Early
AAM10,aam,asee_shstep13,13,0,824,6,2,Early
AAM10,aam,asee_shstep15,15,0,660,2,2,Early
AAM10,aam,asee_shstep17,17,0,771,1,2,Early
AAM10,aam,asee_shstep05,5,1,642,3,3,Early
AAM10,aam,asee_shstep07,7,1,814,4,3,Early
AAM10,aam,asee_shstep09,9,1,781,1,3,Early
AAM10,aam,asee_shstep11,11,1,1146,2,3,Early
AAM10,aam,asee_shstep13,13,0,775,0,3,Early
AAM10,aam,asee_shstep15,15,0,922,6,3,Early
AAM10,aam,asee_shstep17,17,0,929,5,3,Early
AAM10,aam,asee_shstep05,5,1,643,3,4,Early
AAM10,aam,asee_shstep07,7,1,650,1,4,Early
AAM10,aam,asee_shstep09,9,1,848,0,4,Early
AAM10,aam,asee_shstep11,11,0,766,2,4,Early
AAM10,aam,asee_shstep13,13,0,669,5,4,Early
AAM10,aam,asee_shstep15,15,0,642,4,4,Early
AAM10,aam,asee_shstep17,17,0,727,6,4,Early
AAM10,aam,asee_shstep05,5,1,665,6,5,Early
AAM10,aam,asee_shstep07,7,1,685,0,5,Early
AAM10,aam,asee_shstep09,9,1,729,2,5,Early
AAM10,aam,asee_shstep11,11,0,981,5,5,Early
AAM10,aam,asee_shstep13,13,0,700,1,5,Early
AAM10,aam,asee_shstep15,15,0,906,3,5,Early
AAM10,aam,asee_shstep17,17,0,732,4,5,Early
AAM10,aam,asee_shstep05,5,1,691,5,6,Late
AAM10,aam,asee_shstep07,7,1,681,0,6,Late
AAM10,aam,asee_shstep09,9,1,668,3,6,Late
AAM10,aam,asee_shstep11,11,1,830,6,6,Late
AAM10,aam,asee_shstep13,13,0,826,4,6,Late
AAM10,aam,asee_shstep15,15,0,669,1,6,Late
AAM10,aam,asee_shstep17,17,0,726,2,6,Late
AAM10,aam,asee_shstep05,5,1,813,1,7,Late
AAM10,aam,asee_shstep07,7,1,624,3,7,Late
AAM10,aam,asee_shstep09,9,1,736,0,7,Late
AAM10,aam,asee_shstep11,11,1,808,4,7,Late
AAM10,aam,asee_shstep13,13,0,1000,6,7,Late
AAM10,aam,asee_shstep15,15,0,679,5,7,Late
AAM10,aam,asee_shstep17,17,0,1169,2,7,Late
AAM10,aam,asee_shstep05,5,1,663,1,8,Late
AAM10,aam,asee_shstep07,7,1,712,6,8,Late
AAM10,aam,asee_shstep09,9,1,650,4,8,Late
AAM10,aam,asee_shstep11,11,0,795,5,8,Late
AAM10,aam,asee_shstep13,13,0,697,3,8,Late
AAM10,aam,asee_shstep15,15,0,792,2,8,Late
