subject,id,condition,word,trial,nounAnswer,rt,grammarType,wordType,sex,hearing,lang,equip
Subject002,1010subject452,aam,alone,47,0,1190,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,silverstep10,48,1,1518,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,global,49,1,1306,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,secludedstep10,5,0,1418,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,orbital,50,1,2264,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,saltystep14,51,0,1489,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,military,52,0,3722,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,romantic,53,0,1241,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,weekly,54,0,1262,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,guilty,55,0,816,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,occupy,56,0,967,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,lawyer,57,1,1050,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,camera,58,1,2034,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,acerbicstep12,59,0,1554,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,immune,6,0,1706,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,regular,60,0,1159,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,engine,61,0,936,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,felony,62,0,1030,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,royalty,63,0,1227,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,remedial,64,0,1142,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
